ISRC,UPC,Track title,Artist,Release title,Label,Platform,Country,Quantity,Net revenue in EUR,Reporting month
TEST00000026,0000001000026,Track 26,Artist 26,Release 26,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000027,0000001000027,Track 27,Artist 27,Release 27,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000028,0000001000028,Track 28,Artist 28,Release 28,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000029,0000001000029,Track 29,Artist 29,Release 29,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000030,0000001000030,Track 30,Artist 30,Release 30,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000031,0000001000031,Track 31,Artist 31,Release 31,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000032,0000001000032,Track 32,Artist 32,Release 32,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000033,0000001000033,Track 33,Artist 33,Release 33,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000034,0000001000034,Track 34,Artist 34,Release 34,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000035,0000001000035,Track 35,Artist 35,Release 35,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000036,0000001000036,Track 36,Artist 36,Release 36,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000037,0000001000037,Track 37,Artist 37,Release 37,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000038,0000001000038,Track 38,Artist 38,Release 38,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000039,0000001000039,Track 39,Artist 39,Release 39,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000040,0000001000040,Track 40,Artist 40,Release 40,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000041,0000001000041,Track 41,Artist 41,Release 41,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000042,0000001000042,Track 42,Artist 42,Release 42,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000043,0000001000043,Track 43,Artist 43,Release 43,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000044,0000001000044,Track 44,Artist 44,Release 44,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000045,0000001000045,Track 45,Artist 45,Release 45,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000046,0000001000046,Track 46,Artist 46,Release 46,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000047,0000001000047,Track 47,Artist 47,Release 47,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000048,0000001000048,Track 48,Artist 48,Release 48,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000049,0000001000049,Track 49,Artist 49,Release 49,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000050,0000001000050,Track 50,Artist 0,Release 50,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000051,0000001000051,Track 51,Artist 1,Release 51,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000052,0000001000052,Track 52,Artist 2,Release 52,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000053,0000001000053,Track 53,Artist 3,Release 53,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000054,0000001000054,Track 54,Artist 4,Release 54,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000055,0000001000055,Track 55,Artist 5,Release 55,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000056,0000001000056,Track 56,Artist 6,Release 56,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000057,0000001000057,Track 57,Artist 7,Release 57,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000058,0000001000058,Track 58,Artist 8,Release 58,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000059,0000001000059,Track 59,Artist 9,Release 59,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000060,0000001000060,Track 60,Artist 10,Release 60,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000061,0000001000061,Track 61,Artist 11,Release 61,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000062,0000001000062,Track 62,Artist 12,Release 62,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000063,0000001000063,Track 63,Artist 13,Release 63,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000064,0000001000064,Track 64,Artist 14,Release 64,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000065,0000001000065,Track 65,Artist 15,Release 65,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000066,0000001000066,Track 66,Artist 16,Release 66,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000067,0000001000067,Track 67,Artist 17,Release 67,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000068,0000001000068,Track 68,Artist 18,Release 68,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000069,0000001000069,Track 69,Artist 19,Release 69,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000070,0000001000070,Track 70,Artist 20,Release 70,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000071,0000001000071,Track 71,Artist 21,Release 71,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000072,0000001000072,Track 72,Artist 22,Release 72,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000073,0000001000073,Track 73,Artist 23,Release 73,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000074,0000001000074,Track 74,Artist 24,Release 74,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000075,0000001000075,Track 75,Artist 25,Release 75,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000076,0000001000076,Track 76,Artist 26,Release 76,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000077,0000001000077,Track 77,Artist 27,Release 77,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000078,0000001000078,Track 78,Artist 28,Release 78,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000079,0000001000079,Track 79,Artist 29,Release 79,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000080,0000001000080,Track 80,Artist 30,Release 80,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000081,0000001000081,Track 81,Artist 31,Release 81,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000082,0000001000082,Track 82,Artist 32,Release 82,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000083,0000001000083,Track 83,Artist 33,Release 83,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000084,0000001000084,Track 84,Artist 34,Release 84,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000085,0000001000085,Track 85,Artist 35,Release 85,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000086,0000001000086,Track 86,Artist 36,Release 86,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000087,0000001000087,Track 87,Artist 37,Release 87,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000088,0000001000088,Track 88,Artist 38,Release 88,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000089,0000001000089,Track 89,Artist 39,Release 89,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000090,0000001000090,Track 90,Artist 40,Release 90,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000091,0000001000091,Track 91,Artist 41,Release 91,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000092,0000001000092,Track 92,Artist 42,Release 92,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000093,0000001000093,Track 93,Artist 43,Release 93,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000094,0000001000094,Track 94,Artist 44,Release 94,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000095,0000001000095,Track 95,Artist 45,Release 95,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000096,0000001000096,Track 96,Artist 46,Release 96,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000097,0000001000097,Track 97,Artist 47,Release 97,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000098,0000001000098,Track 98,Artist 48,Release 98,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000099,0000001000099,Track 99,Artist 49,Release 99,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000100,0000001000100,Track 100,Artist 0,Release 0,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000101,0000001000101,Track 101,Artist 1,Release 1,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000102,0000001000102,Track 102,Artist 2,Release 2,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000103,0000001000103,Track 103,Artist 3,Release 3,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000104,0000001000104,Track 104,Artist 4,Release 4,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000105,0000001000105,Track 105,Artist 5,Release 5,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000106,0000001000106,Track 106,Artist 6,Release 6,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000107,0000001000107,Track 107,Artist 7,Release 7,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000108,0000001000108,Track 108,Artist 8,Release 8,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000109,0000001000109,Track 109,Artist 9,Release 9,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000110,0000001000110,Track 110,Artist 10,Release 10,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000111,0000001000111,Track 111,Artist 11,Release 11,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000112,0000001000112,Track 112,Artist 12,Release 12,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000113,0000001000113,Track 113,Artist 13,Release 13,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000114,0000001000114,Track 114,Artist 14,Release 14,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000115,0000001000115,Track 115,Artist 15,Release 15,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000116,0000001000116,Track 116,Artist 16,Release 16,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000117,0000001000117,Track 117,Artist 17,Release 17,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000118,0000001000118,Track 118,Artist 18,Release 18,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000119,0000001000119,Track 119,Artist 19,Release 19,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000120,0000001000120,Track 120,Artist 20,Release 20,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000121,0000001000121,Track 121,Artist 21,Release 21,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000122,0000001000122,Track 122,Artist 22,Release 22,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000123,0000001000123,Track 123,Artist 23,Release 23,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000124,0000001000124,Track 124,Artist 24,Release 24,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000125,0000001000125,Track 125,Artist 25,Release 25,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000126,0000001000126,Track 126,Artist 26,Release 26,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000127,0000001000127,Track 127,Artist 27,Release 27,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000128,0000001000128,Track 128,Artist 28,Release 28,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000129,0000001000129,Track 129,Artist 29,Release 29,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000130,0000001000130,Track 130,Artist 30,Release 30,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000131,0000001000131,Track 131,Artist 31,Release 31,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000132,0000001000132,Track 132,Artist 32,Release 32,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000133,0000001000133,Track 133,Artist 33,Release 33,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000134,0000001000134,Track 134,Artist 34,Release 34,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000135,0000001000135,Track 135,Artist 35,Release 35,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000136,0000001000136,Track 136,Artist 36,Release 36,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000137,0000001000137,Track 137,Artist 37,Release 37,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000138,0000001000138,Track 138,Artist 38,Release 38,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000139,0000001000139,Track 139,Artist 39,Release 39,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000140,0000001000140,Track 140,Artist 40,Release 40,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000141,0000001000141,Track 141,Artist 41,Release 41,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000142,0000001000142,Track 142,Artist 42,Release 42,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000143,0000001000143,Track 143,Artist 43,Release 43,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000144,0000001000144,Track 144,Artist 44,Release 44,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000145,0000001000145,Track 145,Artist 45,Release 45,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000146,0000001000146,Track 146,Artist 46,Release 46,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000147,0000001000147,Track 147,Artist 47,Release 47,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000148,0000001000148,Track 148,Artist 48,Release 48,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000149,0000001000149,Track 149,Artist 49,Release 49,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000150,0000001000150,Track 150,Artist 0,Release 50,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000151,0000001000151,Track 151,Artist 1,Release 51,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000152,0000001000152,Track 152,Artist 2,Release 52,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000153,0000001000153,Track 153,Artist 3,Release 53,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000154,0000001000154,Track 154,Artist 4,Release 54,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000155,0000001000155,Track 155,Artist 5,Release 55,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000156,0000001000156,Track 156,Artist 6,Release 56,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000157,0000001000157,Track 157,Artist 7,Release 57,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000158,0000001000158,Track 158,Artist 8,Release 58,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000159,0000001000159,Track 159,Artist 9,Release 59,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000160,0000001000160,Track 160,Artist 10,Release 60,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000161,0000001000161,Track 161,Artist 11,Release 61,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000162,0000001000162,Track 162,Artist 12,Release 62,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000163,0000001000163,Track 163,Artist 13,Release 63,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000164,0000001000164,Track 164,Artist 14,Release 64,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000165,0000001000165,Track 165,Artist 15,Release 65,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000166,0000001000166,Track 166,Artist 16,Release 66,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000167,0000001000167,Track 167,Artist 17,Release 67,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000168,0000001000168,Track 168,Artist 18,Release 68,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000169,0000001000169,Track 169,Artist 19,Release 69,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000170,0000001000170,Track 170,Artist 20,Release 70,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000171,0000001000171,Track 171,Artist 21,Release 71,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000172,0000001000172,Track 172,Artist 22,Release 72,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000173,0000001000173,Track 173,Artist 23,Release 73,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000174,0000001000174,Track 174,Artist 24,Release 74,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000175,0000001000175,Track 175,Artist 25,Release 75,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000176,0000001000176,Track 176,Artist 26,Release 76,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000177,0000001000177,Track 177,Artist 27,Release 77,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000178,0000001000178,Track 178,Artist 28,Release 78,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000179,0000001000179,Track 179,Artist 29,Release 79,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000180,0000001000180,Track 180,Artist 30,Release 80,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000181,0000001000181,Track 181,Artist 31,Release 81,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000182,0000001000182,Track 182,Artist 32,Release 82,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000183,0000001000183,Track 183,Artist 33,Release 83,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000184,0000001000184,Track 184,Artist 34,Release 84,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000185,0000001000185,Track 185,Artist 35,Release 85,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000186,0000001000186,Track 186,Artist 36,Release 86,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000187,0000001000187,Track 187,Artist 37,Release 87,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000188,0000001000188,Track 188,Artist 38,Release 88,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000189,0000001000189,Track 189,Artist 39,Release 89,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000190,0000001000190,Track 190,Artist 40,Release 90,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000191,0000001000191,Track 191,Artist 41,Release 91,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000192,0000001000192,Track 192,Artist 42,Release 92,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000193,0000001000193,Track 193,Artist 43,Release 93,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000194,0000001000194,Track 194,Artist 44,Release 94,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000195,0000001000195,Track 195,Artist 45,Release 95,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000196,0000001000196,Track 196,Artist 46,Release 96,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000197,0000001000197,Track 197,Artist 47,Release 97,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000198,0000001000198,Track 198,Artist 48,Release 98,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000199,0000001000199,Track 199,Artist 49,Release 99,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000200,0000001000200,Track 200,Artist 0,Release 0,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000201,0000001000201,Track 201,Artist 1,Release 1,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000202,0000001000202,Track 202,Artist 2,Release 2,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000203,0000001000203,Track 203,Artist 3,Release 3,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000204,0000001000204,Track 204,Artist 4,Release 4,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000205,0000001000205,Track 205,Artist 5,Release 5,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000206,0000001000206,Track 206,Artist 6,Release 6,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000207,0000001000207,Track 207,Artist 7,Release 7,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000208,0000001000208,Track 208,Artist 8,Release 8,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000209,0000001000209,Track 209,Artist 9,Release 9,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000210,0000001000210,Track 210,Artist 10,Release 10,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000211,0000001000211,Track 211,Artist 11,Release 11,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000212,0000001000212,Track 212,Artist 12,Release 12,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000213,0000001000213,Track 213,Artist 13,Release 13,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000214,0000001000214,Track 214,Artist 14,Release 14,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000215,0000001000215,Track 215,Artist 15,Release 15,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000216,0000001000216,Track 216,Artist 16,Release 16,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000217,0000001000217,Track 217,Artist 17,Release 17,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000218,0000001000218,Track 218,Artist 18,Release 18,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000219,0000001000219,Track 219,Artist 19,Release 19,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000220,0000001000220,Track 220,Artist 20,Release 20,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000221,0000001000221,Track 221,Artist 21,Release 21,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000222,0000001000222,Track 222,Artist 22,Release 22,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000223,0000001000223,Track 223,Artist 23,Release 23,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000224,0000001000224,Track 224,Artist 24,Release 24,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000225,0000001000225,Track 225,Artist 25,Release 25,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000226,0000001000226,Track 226,Artist 26,Release 26,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000227,0000001000227,Track 227,Artist 27,Release 27,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
TEST00000228,0000001000228,Track 228,Artist 28,Release 28,TEST_LABEL_0,Spotify,ID,1000,0.50,2026-01
TEST00000229,0000001000229,Track 229,Artist 29,Release 29,TEST_LABEL_1,Spotify,ID,1000,0.50,2026-01
TEST00000230,0000001000230,Track 230,Artist 30,Release 30,TEST_LABEL_2,Spotify,ID,1000,0.50,2026-01
