Bulan Laporan;ISRC;UPC;Nama Label;Nama Artis;Judul Rilis;Judul Track;Platform;Negara;Kuantias;Pendapatan Bersih
2024-06;IDBIG00000017;3690000000017;BigCsv Label 18;Artist 17;Album X;Track 17;Spotify;ID;4669;4.0817
2024-07;IDBIG00000018;3690000000018;BigCsv Label 19;Artist 18;Album X;Track 18;Spotify;ID;3897;2.2422
2024-08;IDBIG00000019;3690000000019;BigCsv Label 20;Artist 19;Album X;Track 19;Spotify;ID;2681;4.2434
2024-09;IDBIG00000020;3690000000020;BigCsv Label 21;Artist 20;Album X;Track 20;Spotify;ID;3004;3.1558
2024-10;IDBIG00000021;3690000000021;BigCsv Label 22;Artist 21;Album X;Track 21;Spotify;ID;3509;1.1547
2024-11;IDBIG00000022;3690000000022;BigCsv Label 23;Artist 22;Album X;Track 22;Spotify;ID;1645;3.2286
2024-12;IDBIG00000023;3690000000023;BigCsv Label 24;Artist 23;Album X;Track 23;Spotify;ID;4749;4.8562
2024-01;IDBIG00000024;3690000000024;BigCsv Label 25;Artist 24;Album X;Track 24;Spotify;ID;3311;2.3294
2024-02;IDBIG00000025;3690000000025;BigCsv Label 26;Artist 25;Album X;Track 25;Spotify;ID;4489;1.2273
2024-03;IDBIG00000026;3690000000026;BigCsv Label 27;Artist 26;Album X;Track 26;Spotify;ID;3185;3.4833
2024-04;IDBIG00000027;3690000000027;BigCsv Label 28;Artist 27;Album X;Track 27;Spotify;ID;416;2.2603
2024-05;IDBIG00000028;3690000000028;BigCsv Label 29;Artist 28;Album X;Track 28;Spotify;ID;220;1.9588
2024-06;IDBIG00000029;3690000000029;BigCsv Label 30;Artist 29;Album X;Track 29;Spotify;ID;3027;0.7093
2024-07;IDBIG00000030;3690000000030;BigCsv Label 31;Artist 30;Album X;Track 30;Spotify;ID;2999;4.0515
2024-08;IDBIG00000031;3690000000031;BigCsv Label 32;Artist 31;Album X;Track 31;Spotify;ID;4605;1.4657
2024-09;IDBIG00000032;3690000000032;BigCsv Label 33;Artist 32;Album X;Track 32;Spotify;ID;420;4.5751
2024-10;IDBIG00000033;3690000000033;BigCsv Label 34;Artist 33;Album X;Track 33;Spotify;ID;3210;3.6361
2024-11;IDBIG00000034;3690000000034;BigCsv Label 35;Artist 34;Album X;Track 34;Spotify;ID;2033;4.9269
2024-12;IDBIG00000035;3690000000035;BigCsv Label 36;Artist 35;Album X;Track 35;Spotify;ID;583;3.7310
2024-01;IDBIG00000036;3690000000036;BigCsv Label 37;Artist 36;Album X;Track 36;Spotify;ID;556;3.8409
2024-02;IDBIG00000037;3690000000037;BigCsv Label 38;Artist 37;Album X;Track 37;Spotify;ID;4301;3.8008
2024-03;IDBIG00000038;3690000000038;BigCsv Label 39;Artist 38;Album X;Track 38;Spotify;ID;3666;3.8992
2024-04;IDBIG00000039;3690000000039;BigCsv Label 40;Artist 39;Album X;Track 39;Spotify;ID;237;4.6953
2024-05;IDBIG00000040;3690000000040;BigCsv Label 41;Artist 40;Album X;Track 40;Spotify;ID;4559;1.9577
2024-06;IDBIG00000041;3690000000041;BigCsv Label 42;Artist 41;Album X;Track 41;Spotify;ID;315;2.6548
2024-07;IDBIG00000042;3690000000042;BigCsv Label 43;Artist 42;Album X;Track 42;Spotify;ID;1337;1.4358
2024-08;IDBIG00000043;3690000000043;BigCsv Label 44;Artist 43;Album X;Track 43;Spotify;ID;1362;2.4539
2024-09;IDBIG00000044;3690000000044;BigCsv Label 45;Artist 44;Album X;Track 44;Spotify;ID;2486;0.0447
2024-10;IDBIG00000045;3690000000045;BigCsv Label 46;Artist 45;Album X;Track 45;Spotify;ID;1837;2.0253
2024-11;IDBIG00000046;3690000000046;BigCsv Label 47;Artist 46;Album X;Track 46;Spotify;ID;646;2.8207
2024-12;IDBIG00000047;3690000000047;BigCsv Label 48;Artist 47;Album X;Track 47;Spotify;ID;3875;1.4637
2024-01;IDBIG00000048;3690000000048;BigCsv Label 49;Artist 48;Album X;Track 48;Spotify;ID;1213;2.0768
2024-02;IDBIG00000049;3690000000049;BigCsv Label 50;Artist 49;Album X;Track 49;Spotify;ID;131;1.8399
2024-03;IDBIG00000050;3690000000050;BigCsv Label 1;Artist 50;Album X;Track 50;Spotify;ID;1170;0.8302
2024-04;IDBIG00000051;3690000000051;BigCsv Label 2;Artist 51;Album X;Track 51;Spotify;ID;4355;2.8075
2024-05;IDBIG00000052;3690000000052;BigCsv Label 3;Artist 52;Album X;Track 52;Spotify;ID;3378;0.8104
2024-06;IDBIG00000053;3690000000053;BigCsv Label 4;Artist 53;Album X;Track 53;Spotify;ID;3647;3.5881
2024-07;IDBIG00000054;3690000000054;BigCsv Label 5;Artist 54;Album X;Track 54;Spotify;ID;4262;0.2368
2024-08;IDBIG00000055;3690000000055;BigCsv Label 6;Artist 55;Album X;Track 55;Spotify;ID;4994;1.0432
2024-09;IDBIG00000056;3690000000056;BigCsv Label 7;Artist 56;Album X;Track 56;Spotify;ID;1654;0.7059
2024-10;IDBIG00000057;3690000000057;BigCsv Label 8;Artist 57;Album X;Track 57;Spotify;ID;2049;2.1405
2024-11;IDBIG00000058;3690000000058;BigCsv Label 9;Artist 58;Album X;Track 58;Spotify;ID;3474;0.6666
2024-12;IDBIG00000059;3690000000059;BigCsv Label 10;Artist 59;Album X;Track 59;Spotify;ID;1536;1.6497
2024-01;IDBIG00000060;3690000000060;BigCsv Label 11;Artist 60;Album X;Track 60;Spotify;ID;1400;1.3096
2024-02;IDBIG00000061;3690000000061;BigCsv Label 12;Artist 61;Album X;Track 61;Spotify;ID;1639;3.3459
2024-03;IDBIG00000062;3690000000062;BigCsv Label 13;Artist 62;Album X;Track 62;Spotify;ID;4751;2.4529
2024-04;IDBIG00000063;3690000000063;BigCsv Label 14;Artist 63;Album X;Track 63;Spotify;ID;291;0.0492
2024-05;IDBIG00000064;3690000000064;BigCsv Label 15;Artist 64;Album X;Track 64;Spotify;ID;346;0.3490
2024-06;IDBIG00000065;3690000000065;BigCsv Label 16;Artist 65;Album X;Track 65;Spotify;ID;3756;1.4563
2024-07;IDBIG00000066;3690000000066;BigCsv Label 17;Artist 66;Album X;Track 66;Spotify;ID;125;3.5617
2024-08;IDBIG00000067;3690000000067;BigCsv Label 18;Artist 67;Album X;Track 67;Spotify;ID;3672;2.5124
2024-09;IDBIG00000068;3690000000068;BigCsv Label 19;Artist 68;Album X;Track 68;Spotify;ID;4032;2.3379
2024-10;IDBIG00000069;3690000000069;BigCsv Label 20;Artist 69;Album X;Track 69;Spotify;ID;4724;4.1403
2024-11;IDBIG00000070;3690000000070;BigCsv Label 21;Artist 70;Album X;Track 70;Spotify;ID;1466;0.2753
2024-12;IDBIG00000071;3690000000071;BigCsv Label 22;Artist 71;Album X;Track 71;Spotify;ID;2588;2.0118
2024-01;IDBIG00000072;3690000000072;BigCsv Label 23;Artist 72;Album X;Track 72;Spotify;ID;2342;2.3073
2024-02;IDBIG00000073;3690000000073;BigCsv Label 24;Artist 73;Album X;Track 73;Spotify;ID;1318;0.4516
2024-03;IDBIG00000074;3690000000074;BigCsv Label 25;Artist 74;Album X;Track 74;Spotify;ID;1612;1.5514
2024-04;IDBIG00000075;3690000000075;BigCsv Label 26;Artist 75;Album X;Track 75;Spotify;ID;4972;4.4685
2024-05;IDBIG00000076;3690000000076;BigCsv Label 27;Artist 76;Album X;Track 76;Spotify;ID;3843;0.6833
2024-06;IDBIG00000077;3690000000077;BigCsv Label 28;Artist 77;Album X;Track 77;Spotify;ID;1848;2.9680
2024-07;IDBIG00000078;3690000000078;BigCsv Label 29;Artist 78;Album X;Track 78;Spotify;ID;3733;0.9993
2024-08;IDBIG00000079;3690000000079;BigCsv Label 30;Artist 79;Album X;Track 79;Spotify;ID;2973;1.3679
2024-09;IDBIG00000080;3690000000080;BigCsv Label 31;Artist 80;Album X;Track 80;Spotify;ID;1606;2.3466
2024-10;IDBIG00000081;3690000000081;BigCsv Label 32;Artist 81;Album X;Track 81;Spotify;ID;4250;4.0051
2024-11;IDBIG00000082;3690000000082;BigCsv Label 33;Artist 82;Album X;Track 82;Spotify;ID;3494;0.5422
2024-12;IDBIG00000083;3690000000083;BigCsv Label 34;Artist 83;Album X;Track 83;Spotify;ID;4679;1.6724
2024-01;IDBIG00000084;3690000000084;BigCsv Label 35;Artist 84;Album X;Track 84;Spotify;ID;1473;1.5280
2024-02;IDBIG00000085;3690000000085;BigCsv Label 36;Artist 85;Album X;Track 85;Spotify;ID;878;2.0273
2024-03;IDBIG00000086;3690000000086;BigCsv Label 37;Artist 86;Album X;Track 86;Spotify;ID;258;1.9418
2024-04;IDBIG00000087;3690000000087;BigCsv Label 38;Artist 87;Album X;Track 87;Spotify;ID;4087;1.6497
2024-05;IDBIG00000088;3690000000088;BigCsv Label 39;Artist 88;Album X;Track 88;Spotify;ID;1306;0.5542
2024-06;IDBIG00000089;3690000000089;BigCsv Label 40;Artist 89;Album X;Track 89;Spotify;ID;2833;1.0628
2024-07;IDBIG00000090;3690000000090;BigCsv Label 41;Artist 90;Album X;Track 90;Spotify;ID;4133;3.8713
2024-08;IDBIG00000091;3690000000091;BigCsv Label 42;Artist 91;Album X;Track 91;Spotify;ID;2731;2.2333
2024-09;IDBIG00000092;3690000000092;BigCsv Label 43;Artist 92;Album X;Track 92;Spotify;ID;928;4.9262
2024-10;IDBIG00000093;3690000000093;BigCsv Label 44;Artist 93;Album X;Track 93;Spotify;ID;3061;0.7260
2024-11;IDBIG00000094;3690000000094;BigCsv Label 45;Artist 94;Album X;Track 94;Spotify;ID;3932;0.4072
2024-12;IDBIG00000095;3690000000095;BigCsv Label 46;Artist 95;Album X;Track 95;Spotify;ID;1222;3.6073
2024-01;IDBIG00000096;3690000000096;BigCsv Label 47;Artist 96;Album X;Track 96;Spotify;ID;796;3.6733
2024-02;IDBIG00000097;3690000000097;BigCsv Label 48;Artist 97;Album X;Track 97;Spotify;ID;902;4.9838
2024-03;IDBIG00000098;3690000000098;BigCsv Label 49;Artist 98;Album X;Track 98;Spotify;ID;1423;3.2982
2024-04;IDBIG00000099;3690000000099;BigCsv Label 50;Artist 99;Album X;Track 99;Spotify;ID;3970;1.9998
2024-05;IDBIG00000100;3690000000000;BigCsv Label 1;Artist 100;Album X;Track 100;Spotify;ID;2868;3.1906
2024-06;IDBIG00000101;3690000000001;BigCsv Label 2;Artist 101;Album X;Track 101;Spotify;ID;767;0.4557
2024-07;IDBIG00000102;3690000000002;BigCsv Label 3;Artist 102;Album X;Track 102;Spotify;ID;1701;0.5651
2024-08;IDBIG00000103;3690000000003;BigCsv Label 4;Artist 103;Album X;Track 103;Spotify;ID;1811;0.0837
2024-09;IDBIG00000104;3690000000004;BigCsv Label 5;Artist 104;Album X;Track 104;Spotify;ID;1327;0.6199
2024-10;IDBIG00000105;3690000000005;BigCsv Label 6;Artist 105;Album X;Track 105;Spotify;ID;3564;2.9976
2024-11;IDBIG00000106;3690000000006;BigCsv Label 7;Artist 106;Album X;Track 106;Spotify;ID;1126;0.2172
2024-12;IDBIG00000107;3690000000007;BigCsv Label 8;Artist 107;Album X;Track 107;Spotify;ID;333;3.1633
2024-01;IDBIG00000108;3690000000008;BigCsv Label 9;Artist 108;Album X;Track 108;Spotify;ID;2163;1.2042
2024-02;IDBIG00000109;3690000000009;BigCsv Label 10;Artist 109;Album X;Track 109;Spotify;ID;2556;2.9450
2024-03;IDBIG00000110;3690000000010;BigCsv Label 11;Artist 110;Album X;Track 110;Spotify;ID;3125;3.3815
2024-04;IDBIG00000111;3690000000011;BigCsv Label 12;Artist 111;Album X;Track 111;Spotify;ID;2267;1.3854
2024-05;IDBIG00000112;3690000000012;BigCsv Label 13;Artist 112;Album X;Track 112;Spotify;ID;1526;0.3114
2024-06;IDBIG00000113;3690000000013;BigCsv Label 14;Artist 113;Album X;Track 113;Spotify;ID;959;4.7455
2024-07;IDBIG00000114;3690000000014;BigCsv Label 15;Artist 114;Album X;Track 114;Spotify;ID;4053;4.6729
2024-08;IDBIG00000115;3690000000015;BigCsv Label 16;Artist 115;Album X;Track 115;Spotify;ID;2978;0.7320
2024-09;IDBIG00000116;3690000000016;BigCsv Label 17;Artist 116;Album X;Track 116;Spotify;ID;3071;0.6057
2024-10;IDBIG00000117;3690000000017;BigCsv Label 18;Artist 117;Album X;Track 117;Spotify;ID;676;0.6925
2024-11;IDBIG00000118;3690000000018;BigCsv Label 19;Artist 118;Album X;Track 118;Spotify;ID;4538;4.3477
2024-12;IDBIG00000119;3690000000019;BigCsv Label 20;Artist 119;Album X;Track 119;Spotify;ID;4944;1.7157
2024-01;IDBIG00000120;3690000000020;BigCsv Label 21;Artist 120;Album X;Track 120;Spotify;ID;3724;3.8675
2024-02;IDBIG00000121;3690000000021;BigCsv Label 22;Artist 121;Album X;Track 121;Spotify;ID;2276;2.9858
2024-03;IDBIG00000122;3690000000022;BigCsv Label 23;Artist 122;Album X;Track 122;Spotify;ID;2009;3.1577
2024-04;IDBIG00000123;3690000000023;BigCsv Label 24;Artist 123;Album X;Track 123;Spotify;ID;2031;4.3134
2024-05;IDBIG00000124;3690000000024;BigCsv Label 25;Artist 124;Album X;Track 124;Spotify;ID;2069;1.1985
2024-06;IDBIG00000125;3690000000025;BigCsv Label 26;Artist 125;Album X;Track 125;Spotify;ID;588;1.2016
2024-07;IDBIG00000126;3690000000026;BigCsv Label 27;Artist 126;Album X;Track 126;Spotify;ID;442;3.0924
2024-08;IDBIG00000127;3690000000027;BigCsv Label 28;Artist 127;Album X;Track 127;Spotify;ID;2510;4.2566
2024-09;IDBIG00000128;3690000000028;BigCsv Label 29;Artist 128;Album X;Track 128;Spotify;ID;4355;1.5218
2024-10;IDBIG00000129;3690000000029;BigCsv Label 30;Artist 129;Album X;Track 129;Spotify;ID;2155;0.1595
2024-11;IDBIG00000130;3690000000030;BigCsv Label 31;Artist 130;Album X;Track 130;Spotify;ID;2803;1.4081
2024-12;IDBIG00000131;3690000000031;BigCsv Label 32;Artist 131;Album X;Track 131;Spotify;ID;3240;2.2451
2024-01;IDBIG00000132;3690000000032;BigCsv Label 33;Artist 132;Album X;Track 132;Spotify;ID;729;3.0437
2024-02;IDBIG00000133;3690000000033;BigCsv Label 34;Artist 133;Album X;Track 133;Spotify;ID;844;4.4946
2024-03;IDBIG00000134;3690000000034;BigCsv Label 35;Artist 134;Album X;Track 134;Spotify;ID;2051;2.1646
2024-04;IDBIG00000135;3690000000035;BigCsv Label 36;Artist 135;Album X;Track 135;Spotify;ID;4807;4.5012
2024-05;IDBIG00000136;3690000000036;BigCsv Label 37;Artist 136;Album X;Track 136;Spotify;ID;403;2.5677
2024-06;IDBIG00000137;3690000000037;BigCsv Label 38;Artist 137;Album X;Track 137;Spotify;ID;4953;2.7378
2024-07;IDBIG00000138;3690000000038;BigCsv Label 39;Artist 138;Album X;Track 138;Spotify;ID;2341;2.8040
2024-08;IDBIG00000139;3690000000039;BigCsv Label 40;Artist 139;Album X;Track 139;Spotify;ID;4946;4.9861
2024-09;IDBIG00000140;3690000000040;BigCsv Label 41;Artist 140;Album X;Track 140;Spotify;ID;1440;2.5727
2024-10;IDBIG00000141;3690000000041;BigCsv Label 42;Artist 141;Album X;Track 141;Spotify;ID;3150;2.5713
2024-11;IDBIG00000142;3690000000042;BigCsv Label 43;Artist 142;Album X;Track 142;Spotify;ID;2309;3.8219
2024-12;IDBIG00000143;3690000000043;BigCsv Label 44;Artist 143;Album X;Track 143;Spotify;ID;1015;0.9335
2024-01;IDBIG00000144;3690000000044;BigCsv Label 45;Artist 144;Album X;Track 144;Spotify;ID;4972;1.1399
2024-02;IDBIG00000145;3690000000045;BigCsv Label 46;Artist 145;Album X;Track 145;Spotify;ID;261;1.7660
2024-03;IDBIG00000146;3690000000046;BigCsv Label 47;Artist 146;Album X;Track 146;Spotify;ID;1743;4.5177
2024-04;IDBIG00000147;3690000000047;BigCsv Label 48;Artist 147;Album X;Track 147;Spotify;ID;3071;3.1707
2024-05;IDBIG00000148;3690000000048;BigCsv Label 49;Artist 148;Album X;Track 148;Spotify;ID;4497;3.1513
2024-06;IDBIG00000149;3690000000049;BigCsv Label 50;Artist 149;Album X;Track 149;Spotify;ID;4042;4.2677
2024-07;IDBIG00000150;3690000000050;BigCsv Label 1;Artist 150;Album X;Track 150;Spotify;ID;1577;2.3346
2024-08;IDBIG00000151;3690000000051;BigCsv Label 2;Artist 151;Album X;Track 151;Spotify;ID;2539;2.1760
2024-09;IDBIG00000152;3690000000052;BigCsv Label 3;Artist 152;Album X;Track 152;Spotify;ID;1073;0.5875
2024-10;IDBIG00000153;3690000000053;BigCsv Label 4;Artist 153;Album X;Track 153;Spotify;ID;2892;3.5912
2024-11;IDBIG00000154;3690000000054;BigCsv Label 5;Artist 154;Album X;Track 154;Spotify;ID;3480;3.8328
2024-12;IDBIG00000155;3690000000055;BigCsv Label 6;Artist 155;Album X;Track 155;Spotify;ID;1678;3.9277
2024-01;IDBIG00000156;3690000000056;BigCsv Label 7;Artist 156;Album X;Track 156;Spotify;ID;2115;4.1894
2024-02;IDBIG00000157;3690000000057;BigCsv Label 8;Artist 157;Album X;Track 157;Spotify;ID;914;3.2081
2024-03;IDBIG00000158;3690000000058;BigCsv Label 9;Artist 158;Album X;Track 158;Spotify;ID;4905;4.9740
2024-04;IDBIG00000159;3690000000059;BigCsv Label 10;Artist 159;Album X;Track 159;Spotify;ID;866;3.4766
2024-05;IDBIG00000160;3690000000060;BigCsv Label 11;Artist 160;Album X;Track 160;Spotify;ID;1464;1.5529
2024-06;IDBIG00000161;3690000000061;BigCsv Label 12;Artist 161;Album X;Track 161;Spotify;ID;689;2.4586
2024-07;IDBIG00000162;3690000000062;BigCsv Label 13;Artist 162;Album X;Track 162;Spotify;ID;2538;3.1693
2024-08;IDBIG00000163;3690000000063;BigCsv Label 14;Artist 163;Album X;Track 163;Spotify;ID;1599;2.4723
2024-09;IDBIG00000164;3690000000064;BigCsv Label 15;Artist 164;Album X;Track 164;Spotify;ID;1290;4.9405
2024-10;IDBIG00000165;3690000000065;BigCsv Label 16;Artist 165;Album X;Track 165;Spotify;ID;3923;4.2106
2024-11;IDBIG00000166;3690000000066;BigCsv Label 17;Artist 166;Album X;Track 166;Spotify;ID;457;4.1656
2024-12;IDBIG00000167;3690000000067;BigCsv Label 18;Artist 167;Album X;Track 167;Spotify;ID;4613;2.4578
2024-01;IDBIG00000168;3690000000068;BigCsv Label 19;Artist 168;Album X;Track 168;Spotify;ID;562;3.0576
2024-02;IDBIG00000169;3690000000069;BigCsv Label 20;Artist 169;Album X;Track 169;Spotify;ID;4955;3.7912
2024-03;IDBIG00000170;3690000000070;BigCsv Label 21;Artist 170;Album X;Track 170;Spotify;ID;2223;4.6374
2024-04;IDBIG00000171;3690000000071;BigCsv Label 22;Artist 171;Album X;Track 171;Spotify;ID;170;4.2044
2024-05;IDBIG00000172;3690000000072;BigCsv Label 23;Artist 172;Album X;Track 172;Spotify;ID;2171;3.7473
2024-06;IDBIG00000173;3690000000073;BigCsv Label 24;Artist 173;Album X;Track 173;Spotify;ID;2664;4.5176
2024-07;IDBIG00000174;3690000000074;BigCsv Label 25;Artist 174;Album X;Track 174;Spotify;ID;1796;0.2592
2024-08;IDBIG00000175;3690000000075;BigCsv Label 26;Artist 175;Album X;Track 175;Spotify;ID;4744;2.6379
2024-09;IDBIG00000176;3690000000076;BigCsv Label 27;Artist 176;Album X;Track 176;Spotify;ID;2171;4.5816
2024-10;IDBIG00000177;3690000000077;BigCsv Label 28;Artist 177;Album X;Track 177;Spotify;ID;567;0.8483
2024-11;IDBIG00000178;3690000000078;BigCsv Label 29;Artist 178;Album X;Track 178;Spotify;ID;1402;3.5034
2024-12;IDBIG00000179;3690000000079;BigCsv Label 30;Artist 179;Album X;Track 179;Spotify;ID;4516;4.2723
2024-01;IDBIG00000180;3690000000080;BigCsv Label 31;Artist 180;Album X;Track 180;Spotify;ID;3163;1.3358
2024-02;IDBIG00000181;3690000000081;BigCsv Label 32;Artist 181;Album X;Track 181;Spotify;ID;3795;1.2289
2024-03;IDBIG00000182;3690000000082;BigCsv Label 33;Artist 182;Album X;Track 182;Spotify;ID;4277;1.3218
2024-04;IDBIG00000183;3690000000083;BigCsv Label 34;Artist 183;Album X;Track 183;Spotify;ID;2555;3.1254
2024-05;IDBIG00000184;3690000000084;BigCsv Label 35;Artist 184;Album X;Track 184;Spotify;ID;2441;0.3709
2024-06;IDBIG00000185;3690000000085;BigCsv Label 36;Artist 185;Album X;Track 185;Spotify;ID;172;2.5124
2024-07;IDBIG00000186;3690000000086;BigCsv Label 37;Artist 186;Album X;Track 186;Spotify;ID;4299;1.8634
2024-08;IDBIG00000187;3690000000087;BigCsv Label 38;Artist 187;Album X;Track 187;Spotify;ID;447;0.4470
2024-09;IDBIG00000188;3690000000088;BigCsv Label 39;Artist 188;Album X;Track 188;Spotify;ID;126;3.2697
2024-10;IDBIG00000189;3690000000089;BigCsv Label 40;Artist 189;Album X;Track 189;Spotify;ID;1129;4.7471
2024-11;IDBIG00000190;3690000000090;BigCsv Label 41;Artist 190;Album X;Track 190;Spotify;ID;2897;3.3403
2024-12;IDBIG00000191;3690000000091;BigCsv Label 42;Artist 191;Album X;Track 191;Spotify;ID;1378;3.9883
2024-01;IDBIG00000192;3690000000092;BigCsv Label 43;Artist 192;Album X;Track 192;Spotify;ID;4118;3.9609
2024-02;IDBIG00000193;3690000000093;BigCsv Label 44;Artist 193;Album X;Track 193;Spotify;ID;1895;0.7413
2024-03;IDBIG00000194;3690000000094;BigCsv Label 45;Artist 194;Album X;Track 194;Spotify;ID;2253;2.3313
2024-04;IDBIG00000195;3690000000095;BigCsv Label 46;Artist 195;Album X;Track 195;Spotify;ID;1964;2.9876
2024-05;IDBIG00000196;3690000000096;BigCsv Label 47;Artist 196;Album X;Track 196;Spotify;ID;2561;1.4809
2024-06;IDBIG00000197;3690000000097;BigCsv Label 48;Artist 197;Album X;Track 197;Spotify;ID;2750;2.7150
2024-07;IDBIG00000198;3690000000098;BigCsv Label 49;Artist 198;Album X;Track 198;Spotify;ID;1417;2.3659
2024-08;IDBIG00000199;3690000000099;BigCsv Label 50;Artist 199;Album X;Track 199;Spotify;ID;1210;4.0919
2024-09;IDBIG00000200;3690000000000;BigCsv Label 1;Artist 0;Album X;Track 200;Spotify;ID;1436;3.1930
2024-10;IDBIG00000201;3690000000001;BigCsv Label 2;Artist 1;Album X;Track 201;Spotify;ID;1505;0.0282
2024-11;IDBIG00000202;3690000000002;BigCsv Label 3;Artist 2;Album X;Track 202;Spotify;ID;585;3.0315
2024-12;IDBIG00000203;3690000000003;BigCsv Label 4;Artist 3;Album X;Track 203;Spotify;ID;4796;4.4551
2024-01;IDBIG00000204;3690000000004;BigCsv Label 5;Artist 4;Album X;Track 204;Spotify;ID;714;4.8307
2024-02;IDBIG00000205;3690000000005;BigCsv Label 6;Artist 5;Album X;Track 205;Spotify;ID;4936;1.0051
2024-03;IDBIG00000206;3690000000006;BigCsv Label 7;Artist 6;Album X;Track 206;Spotify;ID;3415;2.4202
2024-04;IDBIG00000207;3690000000007;BigCsv Label 8;Artist 7;Album X;Track 207;Spotify;ID;3292;1.2190
2024-05;IDBIG00000208;3690000000008;BigCsv Label 9;Artist 8;Album X;Track 208;Spotify;ID;2767;4.3252
2024-06;IDBIG00000209;3690000000009;BigCsv Label 10;Artist 9;Album X;Track 209;Spotify;ID;1483;2.5202
2024-07;IDBIG00000210;3690000000010;BigCsv Label 11;Artist 10;Album X;Track 210;Spotify;ID;1558;1.0624
2024-08;IDBIG00000211;3690000000011;BigCsv Label 12;Artist 11;Album X;Track 211;Spotify;ID;846;0.9307
2024-09;IDBIG00000212;3690000000012;BigCsv Label 13;Artist 12;Album X;Track 212;Spotify;ID;2428;4.8068
2024-10;IDBIG00000213;3690000000013;BigCsv Label 14;Artist 13;Album X;Track 213;Spotify;ID;3788;0.7686
2024-11;IDBIG00000214;3690000000014;BigCsv Label 15;Artist 14;Album X;Track 214;Spotify;ID;251;2.1767
2024-12;IDBIG00000215;3690000000015;BigCsv Label 16;Artist 15;Album X;Track 215;Spotify;ID;4245;4.5441
2024-01;IDBIG00000216;3690000000016;BigCsv Label 17;Artist 16;Album X;Track 216;Spotify;ID;510;1.4882
2024-02;IDBIG00000217;3690000000017;BigCsv Label 18;Artist 17;Album X;Track 217;Spotify;ID;1964;0.8676
2024-03;IDBIG00000218;3690000000018;BigCsv Label 19;Artist 18;Album X;Track 218;Spotify;ID;1195;3.1041
2024-04;IDBIG00000219;3690000000019;BigCsv Label 20;Artist 19;Album X;Track 219;Spotify;ID;2730;3.3840
2024-05;IDBIG00000220;3690000000020;BigCsv Label 21;Artist 20;Album X;Track 220;Spotify;ID;2125;4.4451
2024-06;IDBIG00000221;3690000000021;BigCsv Label 22;Artist 21;Album X;Track 221;Spotify;ID;4046;2.4912
2024-07;IDBIG00000222;3690000000022;BigCsv Label 23;Artist 22;Album X;Track 222;Spotify;ID;4583;1.1548
2024-08;IDBIG00000223;3690000000023;BigCsv Label 24;Artist 23;Album X;Track 223;Spotify;ID;2622;1.3962
2024-09;IDBIG00000224;3690000000024;BigCsv Label 25;Artist 24;Album X;Track 224;Spotify;ID;4809;4.4367
2024-10;IDBIG00000225;3690000000025;BigCsv Label 26;Artist 25;Album X;Track 225;Spotify;ID;4939;0.3105
2024-11;IDBIG00000226;3690000000026;BigCsv Label 27;Artist 26;Album X;Track 226;Spotify;ID;4197;2.8214
2024-12;IDBIG00000227;3690000000027;BigCsv Label 28;Artist 27;Album X;Track 227;Spotify;ID;3972;1.1866
